Dom, Het, Rec, Pred
13, 20, 20, 1
6, 17, 31, 2
5, 13, 45, 4
2, 14, 54, 5
1, 15, 72, 6
1, 10, 99, 9
0, 8, 132, 15
0, 12, 153, 24
0, 9, 191, 35
0, 9, 192, 49
0, 2, 151, 82
0, 0, 34, 132
0, 0, 0, 100
0, 0, 0, 3
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
