Dom, Het, Rec, Pred
13, 30, 15, 1
15, 18, 20, 2
11, 20, 21, 2
7, 16, 33, 4
4, 9, 45, 7
0, 9, 34, 12
0, 4, 33, 19
0, 0, 27, 26
0, 0, 6, 43
0, 0, 0, 66
0, 0, 0, 75
0, 0, 1, 57
0, 0, 0, 64
0, 0, 0, 73
0, 0, 7, 49
0, 0, 0, 56
0, 0, 0, 67
0, 0, 0, 66
0, 0, 0, 55
0, 0, 0, 70
0, 0, 0, 58
0, 0, 0, 64
0, 0, 0, 66
0, 0, 0, 52
0, 0, 0, 65
0, 0, 1, 61
0, 0, 0, 61
0, 0, 0, 63
0, 0, 0, 66
0, 0, 0, 61
0, 0, 0, 63
0, 0, 0, 64
0, 0, 0, 59
0, 0, 0, 65
0, 0, 0, 59
0, 0, 0, 62
0, 0, 0, 61
0, 0, 1, 64
0, 0, 0, 61
0, 0, 0, 65
0, 0, 0, 69
0, 0, 0, 56
0, 0, 0, 61
0, 0, 0, 65
0, 0, 0, 66
0, 0, 0, 61
0, 0, 1, 58
