Dom, Het, Rec, Pred
10, 24, 26, 2
8, 21, 52, 3
5, 23, 95, 5
4, 22, 183, 7
2, 27, 345, 10
1, 35, 649, 18
0, 33, 1260, 26
0, 44, 2426, 41
0, 42, 4716, 62
