Dom, Het, Rec, Pred
47, 3, 0, 0
41, 2, 0, 0
44, 2, 0, 0
47, 2, 0, 0
43, 4, 0, 0
42, 9, 0, 0
39, 13, 0, 0
27, 17, 2, 0
36, 20, 4, 0
28, 24, 7, 0
21, 19, 12, 0
13, 31, 14, 0
9, 28, 25, 0
10, 20, 25, 0
11, 22, 34, 0
9, 20, 38, 0
4, 24, 33, 0
6, 17, 39, 0
3, 24, 41, 0
2, 20, 41, 0
2, 21, 47, 0
1, 16, 47, 0
0, 13, 45, 0
0, 11, 53, 0
0, 11, 59, 0
0, 9, 58, 0
1, 11, 61, 0
0, 10, 59, 0
1, 11, 62, 0
2, 10, 52, 0
1, 11, 53, 0
1, 17, 58, 0
